epoch,loss,val_loss,val_x_pred_categorical_accuracy,val_x_pred_loss,val_x_pred_vae_anneal_metric,val_z_mean_log_var_loss,x_pred_categorical_accuracy,x_pred_loss,x_pred_vae_anneal_metric,z_mean_log_var_loss
0,0.7997272499219411,nan,0.7080176776707775,nan,3.7017207432654686e-07,0.9194862740208404,0.7649805852332806,0.799726852803067,3.7017207432654686e-07,1.0861696222737423
1,0.47204466854368016,nan,0.7572377224763235,nan,6.168544928186748e-07,0.7272643678718143,0.8518759524266684,0.47204413524777084,6.168544928186748e-07,0.8643032406435329
2,0.33585834665488556,nan,0.8050758901870612,nan,1.0279256912326673e-06,0.48367429336514134,0.8921002183048863,0.3358576996884675,1.0279256912326673e-06,0.6291217478656287
3,0.25694199641857973,nan,0.8438912928104401,nan,1.7129339084931416e-06,0.37439459803128483,0.9168579128269129,0.2569412390195808,1.7129339084931416e-06,0.4423970992413884
4,0.2016287264380142,nan,0.8761427095442107,nan,2.8544293400045717e-06,0.2853455984532231,0.9341891857762473,0.20162774710291093,2.8544293400045717e-06,0.34311420533645026
5,0.1718515712916349,nan,0.899483591619164,nan,4.756610906042624e-06,0.23915223227907914,0.9433798194935589,0.171850197347679,4.756610906042624e-06,0.288857809534105
6,0.13716875751707275,nan,0.9176814465811758,nan,7.92639002611395e-06,0.21051217675811112,0.9544192965883408,0.13716678255264309,7.92639002611395e-06,0.24915186598152342
7,0.11890775494064125,nan,0.930160398435111,nan,1.3208464224589989e-05,0.1926295171783428,0.9603144893948782,0.11890482965695731,1.3208464224589989e-05,0.22146072449943846
8,0.10172534160052438,nan,0.9379425891722092,nan,2.2010388420312665e-05,0.17475412786006927,0.9660012067736433,0.10172103165509258,2.2010388420312665e-05,0.1958141615640441
9,0.08577007134766608,nan,0.9490984593979036,nan,3.66775639122352e-05,0.1492703253723154,0.9713137127053263,0.08576371870696511,3.66775639122352e-05,0.17320378174914328
10,0.07535255982099726,nan,0.9472947066480463,nan,6.111799302743748e-05,0.14238322601474898,0.9748670938709758,0.0753432268957654,6.111799302743748e-05,0.15270198695047862
11,0.07094270107637023,0.7132297441212818,0.9557506288542892,0.7132156090904967,0.0001018428520183079,0.13878871726267267,0.9764132490658747,0.07092733754620065,0.0001018428520183079,0.1508557110405718
12,0.06175549046577261,nan,0.9633694748685817,nan,0.00016969938587862998,0.12373280656909702,0.9794467023287778,0.06173254181366834,0.00016969938587862998,0.13523135688584684
13,0.05707149259465789,nan,0.9692143003145853,nan,0.0002827550342772156,0.11781820286102969,0.9810512718158382,0.05703587182271956,0.0002827550342772156,0.12597731080853758
14,0.0518891228627516,0.4707438713974423,0.9707972575919797,0.4706926213370429,0.0004710941284429282,0.10878972321598217,0.9827702172280429,0.05183301802885659,0.0004710941284429282,0.11909469883054377
15,0.054178966650637865,nan,0.9754532759237771,nan,0.0007847847300581634,0.10130958165032695,0.9821593826704652,0.05409075714990806,0.0007847847300581634,0.11239955074779777
16,0.04423397090777562,nan,0.9693525870039006,nan,0.0013070814311504364,0.0935286462231718,0.9853902076951979,0.044101913778058,0.0013070814311504364,0.10103203987536438
17,0.04308674808388711,nan,0.9782220356994205,nan,0.002176224486902356,0.08247316252402585,0.9858180414017234,0.04288559900737927,0.002176224486902356,0.092430298600988
18,0.04194724309513871,0.34958032405737677,0.978328588936064,0.3493019134709329,0.0036212082486599684,0.07688327822269815,0.9862408985387469,0.04164524533687047,0.0036212082486599684,0.08339695212447462
19,0.03877308828978977,nan,0.9797966429079422,nan,0.00601985352113843,0.06665554973814222,0.9873484520012579,0.03832103522648174,0.00601985352113843,0.07509369663329421
20,0.03718332361674657,nan,0.9803698354899281,nan,0.009991399943828583,0.058517846852691485,0.9879065179075169,0.03651843832022417,0.009991399943828583,0.06654575828343613
21,0.04823140597733335,nan,0.9841757516066233,nan,0.016539542004466057,0.056444967861729436,0.9846857926739795,0.04719817072491944,0.016539542004466057,0.06247060660613781
22,0.049296253583049385,nan,0.9835541263373211,nan,0.027261018753051758,0.05602823105650117,0.9844513216224833,0.04765970224869144,0.027261018753051758,0.06003265425454091
23,0.03713790458668356,nan,0.9824828999211089,nan,0.04461720213294029,0.05456376102085066,0.9886207735183733,0.03461009214210216,0.04461720213294029,0.05665555720806858
24,0.05500396507792698,nan,0.9828199322777565,nan,0.07220327854156494,0.055946477961660634,0.9833798638091604,0.05082883514309117,0.07220327854156494,0.0578246584799034
25,0.04293010974640695,nan,0.9825710825847856,nan,0.1147959753870964,0.054440260102803055,0.9880542782904524,0.03614512337962608,0.1147959753870964,0.059104740824644515
26,0.04954733507125181,nan,0.9845375048391747,nan,0.17770178616046906,0.04750829857934003,0.986998082981024,0.03931671354746062,0.17770178616046906,0.057571855283215234
27,0.05150167411846903,0.2607197833783699,0.9844089054098033,0.25129885504944155,0.26476824283599854,0.0355817929023143,0.9870717585053356,0.03914211555825968,0.26476824283599854,0.04668066857287483
28,0.062488869738287635,nan,0.9817183071916754,nan,0.3750375509262085,0.029770894728676237,0.9837427471943747,0.04945242090348378,0.3750375509262085,0.03476038289762059
29,0.05177136936686737,0.2839628427167131,0.9830534181209526,0.2731467052692115,0.5,0.02163227569462374,0.987410467806189,0.03816489314535975,0.5,0.02721295240536491
30,0.04945497618698458,nan,0.9732974596095808,nan,0.6249624490737915,0.016136000516137693,0.9878378179486985,0.03690748797402263,0.6249624490737915,0.020077187460227536
31,0.05454658177889913,nan,0.977859949824786,nan,0.7352317571640015,0.013889228238376102,0.9862487705352265,0.04235286631865624,0.7352317571640015,0.016584859594100314
